COUNTY,PREDICTION_RATE
Clinton,IL,0.4
Coles,IL,0.4
Cook,IL,0.6
Crawford,IL,0.6
Cumberland,IL,0.6
DeKalb,IL,0.8
De Witt,IL,0.6
Douglas,IL,0.6
DuPage,IL,0.8
Edgar,IL,0.6
Edwards,IL,0.2
Effingham,IL,0.6
Fayette,IL,0.6
Ford,IL,0.6
Franklin,IL,0.4
Fulton,IL,0.6
Gallatin,IL,0.4
Greene,IL,0.6
Grundy,IL,0.6
Hamilton,IL,0.4
Hancock,IL,0.6
Hardin,IL,0.6
Henderson,IL,0.6
Henry,IL,0.6
Iroquois,IL,0.6
Jackson,IL,0.2
Jasper,IL,0.4
Jefferson,IL,0.2
Jersey,IL,0.6
Jo Daviess,IL,1.0
Johnson,IL,0.6
Kane,IL,0.8
Kankakee,IL,0.8
Kendall,IL,0.6
Knox,IL,0.4
Lake,IL,0.8
LaSalle,IL,0.6
Lawrence,IL,0.6
Lee,IL,0.6
Livingston,IL,0.2
Logan,IL,0.6
McDonough,IL,0.8
McHenry,IL,0.8
McLean,IL,0.8
Macon,IL,0.6
Macoupin,IL,0.6
Madison,IL,0.4
Marion,IL,0.4
Marshall,IL,0.6
Mason,IL,0.8
Massac,IL,0.6
Menard,IL,0.6
Mercer,IL,0.6
Monroe,IL,0.6
Montgomery,IL,0.6
Morgan,IL,0.6
Moultrie,IL,0.6
Ogle,IL,0.2
Peoria,IL,0.4
Perry,IL,0.4
Piatt,IL,0.6
Pike,IL,0.6
Pope,IL,0.4
Pulaski,IL,0.4
Putnam,IL,0.6
Randolph,IL,0.4
Richland,IL,0.6
Rock Island,IL,0.4
St. Clair,IL,0.4
Saline,IL,0.6
Sangamon,IL,0.8
Schuyler,IL,0.8
Scott,IL,0.2
Shelby,IL,0.6
Stark,IL,0.4
Stephenson,IL,0.0
Tazewell,IL,0.6
Union,IL,0.6
Vermilion,IL,0.8
Wabash,IL,0.6
Warren,IL,1.0
Washington,IL,0.6
Wayne,IL,0.6
White,IL,0.6
Whiteside,IL,0.6
Will,IL,0.8
Williamson,IL,0.4
Winnebago,IL,0.8
Woodford,IL,0.4
Adams,IN,0.6
Allen,IN,0.6
Bartholomew,IN,0.0
Benton,IN,0.4
Blackford,IN,0.6
Boone,IN,0.6
Brown,IN,0.6
Carroll,IN,0.6
Cass,IN,0.6
Clark,IN,0.6
Clay,IN,0.6
Clinton,IN,0.6
Crawford,IN,0.6
Daviess,IN,0.6
Dearborn,IN,0.4
Decatur,IN,0.6
DeKalb,IN,0.4
Delaware,IN,1.0
Dubois,IN,0.2
Elkhart,IN,0.6
Fayette,IN,0.6
Floyd,IN,0.6
Fountain,IN,0.6
Franklin,IN,0.6
Fulton,IN,0.6
Gibson,IN,0.4
Grant,IN,0.2
Greene,IN,0.4
Hamilton,IN,0.6
Hancock,IN,0.2
Harrison,IN,0.6
Hendricks,IN,0.6
Henry,IN,0.2
Howard,IN,0.6
Huntington,IN,0.4
Jackson,IN,0.4
Jasper,IN,0.6
Jay,IN,0.6
Jefferson,IN,0.6
Jennings,IN,0.6
Johnson,IN,0.6
Knox,IN,0.4
Kosciusko,IN,0.4
LaGrange,IN,0.6
Lake,IN,0.6
LaPorte,IN,0.6
Lawrence,IN,0.4
Madison,IN,0.8
Marion,IN,0.6
Marshall,IN,0.4
Martin,IN,0.4
Miami,IN,0.6
Monroe,IN,0.6
Montgomery,IN,0.2
Morgan,IN,0.2
Newton,IN,0.6
Noble,IN,0.4
Ohio,IN,0.4
Orange,IN,0.6
Owen,IN,0.6
Parke,IN,0.6
Perry,IN,0.8
Pike,IN,0.6
Porter,IN,1.0
Posey,IN,0.6
Pulaski,IN,0.6
Putnam,IN,0.4
Randolph,IN,0.6
Ripley,IN,0.6
Rush,IN,0.6
St. Joseph,IN,0.6
Scott,IN,0.4
Shelby,IN,0.6
Spencer,IN,0.8
Starke,IN,0.8
Steuben,IN,0.4
Sullivan,IN,0.6
Switzerland,IN,0.4
Tippecanoe,IN,0.8
Tipton,IN,0.6
Union,IN,0.2
Vanderburgh,IN,0.8
Vermillion,IN,0.6
Vigo,IN,1.0
Wabash,IN,0.6
Warren,IN,0.4
Warrick,IN,0.2
Washington,IN,0.6
