YEAR,CANDIDATE,ONES,TWOS,THREES,FOURS,FIVES,SIXES,SEVENS,EIGHTS,NINES
1976,'Julius ""Jules"" Levin',0.004520933349069354,0.002379438604773344,0.0017607845675322747,0.0014752519349594735,0.0015704294791504072,0.0010469529861002714,0.0008565978977184039,0.0006662428093365364,0.0006186540372410694
1976,'Zeidler Frank',0.004473344576973887,0.002331849832677877,0.001665607023341341,0.0014752519349594735,0.0015704294791504072,0.0010469529861002714,0.0008565978977184039,0.0006662428093365364,0.0006186540372410694
1980,'Reagan Ronald',0.1160073112900579,0.062247825570274966,0.040744031282361794,0.036782806018798846,0.03282158075523589,0.02263557293464544,0.023201462258011576,0.01867434767108249,0.01867434767108249
1980,'Carter Jimmy',0.1160073112900579,0.062247825570274966,0.040744031282361794,0.03734869534216498,0.03282158075523589,0.02263557293464544,0.023201462258011576,0.01867434767108249,0.01867434767108249
1980,'Anderson John B.',0.11657320061342402,0.062247825570274966,0.040744031282361794,0.03734869534216498,0.03282158075523589,0.02263557293464544,0.023201462258011576,0.01867434767108249,0.01867434767108249
1980,'Rarick John',0.008974050477274316,0.004838948786765563,0.0031233214896395907,0.0028153883850272365,0.0025514457239309333,0.001759617740642023,0.001759617740642023,0.0014076941925136182,0.001451684636029669
1980,'Clark Edward ""Ed""',0.11657320061342402,0.062247825570274966,0.040744031282361794,0.03791458466553112,0.03282158075523589,0.02263557293464544,0.023201462258011576,0.01867434767108249,0.01867434767108249
1980,'Bubar Benjamin ""Ben""',0.01156022195626156,0.006552853087506553,0.003956439600003956,0.003709162125003709,0.0034000652812534,0.002410955381252411,0.0022254972750022253,0.0017927616937517927,0.0016073035875016073
1980,'Hall Gus',0.008974050477274316,0.004838948786765563,0.0031233214896395907,0.0028153883850272365,0.0025514457239309333,0.001759617740642023,0.0018036081841580735,0.001451684636029669,0.001451684636029669
1980,'Deberry Clifton',0.008974050477274316,0.004838948786765563,0.003167311933155641,0.0028593788285432875,0.0025514457239309333,0.001759617740642023,0.0018036081841580735,0.001451684636029669,0.001451684636029669
1980,'McReynolds David',0.008974050477274316,0.004838948786765563,0.0031233214896395907,0.0028153883850272365,0.0025514457239309333,0.001759617740642023,0.001759617740642023,0.001451684636029669,0.001451684636029669
1980,'Commoner Barry',0.008930060033758267,0.004838948786765563,0.0031233214896395907,0.0028153883850272365,0.0025514457239309333,0.001759617740642023,0.001759617740642023,0.0014076941925136182,0.001451684636029669
1980,'Griswold Deirdre',0.008974050477274316,0.004838948786765563,0.0031233214896395907,0.0028593788285432875,0.0025514457239309333,0.001759617740642023,0.0018036081841580735,0.001451684636029669,0.001451684636029669
1980,'Smith Maureen',0.0012816124268869237,0.0006408062134434619,0.00045438986044172756,0.00039613475012868554,0.0004194367942539023,0.00030292657362781833,0.00023302044125216796,0.00018641635300173438,0.00016311430887651758
1980,'Pulley Andrew',0.05675871139415874,0.03234636240742379,0.019224724827053764,0.018309261740051205,0.016478335566046085,0.011901020131033283,0.010070093957028162,0.008849476507691415,0.007934013420688855
1980,'Greaves Percy L Jr.',0.03161456057416014,0.017710774771911703,0.01092440313033806,0.01042783935168633,0.00943471179438287,0.006455329122472491,0.006124286603371337,0.004800116526966724,0.00446907400786557
1980,'Shelton Frank Jr.',0.014492827581279757,0.006634040794247776,0.004898983971136819,0.003980424476548666,0.004388673140810068,0.0033680514801565633,0.0021433054873723585,0.0020412433213070082,0.0016329946570456065
1980,'McCormack Ellen',0.002773317269591753,0.0014189065100236877,0.0009351883816065214,0.0008223208183091827,0.0007900729430813715,0.0006127096293284106,0.00048371812841716623,0.00040309844034763857,0.00035472662750592193
1980,'Lynen Kurt',0.005612155054098486,0.002654851792058565,0.0019155259765485852,0.001646680225454047,0.0016130745065672295,0.0012770173176990568,0.0010081715666045185,0.000840142972170432,0.000705720096623163
1980,'Gahres William ""Bill""',0.005679366491872121,0.0027220632298322,0.0019155259765485852,0.001646680225454047,0.0016130745065672295,0.0012770173176990568,0.0010081715666045185,0.000840142972170432,0.000705720096623163
1980,'Wendelken Martin E.',0.005712972210758938,0.0027220632298322,0.0019155259765485852,0.001646680225454047,0.0016130745065672295,0.0012770173176990568,0.0010081715666045185,0.000840142972170432,0.0007393258155099803
1980,'McLain Harley',0.05778503965249273,0.03088510740047025,0.019593777813201558,0.017269092309940354,0.016604896451865726,0.012619721303417953,0.010627133729194065,0.008634546154970177,0.007970350296895549
1980,'Congress Richard',0.0040853459109072435,0.0022411040425548306,0.0013773451928201562,0.001283965857713705,0.0011905865226072537,0.0008871036835112872,0.0007470346808516102,0.0006770001795217718,0.0005836208444153205
1984,'Reagan Ronald',0.16140298886583973,0.08890394140806909,0.056623343634901145,0.04921468185089539,0.0396892595571737,0.034926548410312855,0.03280978790059692,0.03175140764573896,0.02381355573430422
1984,'Mondale Walter',0.16140298886583973,0.08890394140806909,0.056623343634901145,0.04921468185089539,0.04021844968460268,0.034926548410312855,0.03280978790059692,0.03175140764573896,0.02381355573430422
1984,'Bergland David',0.16140298886583973,0.08943313153549808,0.056623343634901145,0.04921468185089539,0.04021844968460268,0.034926548410312855,0.03280978790059692,0.03175140764573896,0.02381355573430422
1984,'Hall Gus',0.013745151330046855,0.007596004682394315,0.004837931553667808,0.004159716849882601,0.0033910735189260333,0.0029841446966549093,0.0028032874423121875,0.0027128588151408266,0.00203464411135562
1984,'Richards Bob',0.013654722702875495,0.007596004682394315,0.004792717240082127,0.004159716849882601,0.003345859205340353,0.002938930383069229,0.002758073128726507,0.0027128588151408266,0.00203464411135562
1984,'Mason Melvin',0.013745151330046855,0.007596004682394315,0.004837931553667808,0.004204931163468282,0.0033910735189260333,0.0029841446966549093,0.0028032874423121875,0.0027128588151408266,0.00203464411135562
1984,'Serrette Dennis',0.013745151330046855,0.007596004682394315,0.004837931553667808,0.004159716849882601,0.003345859205340353,0.002938930383069229,0.002758073128726507,0.0027128588151408266,0.00203464411135562
1984,'Other',0.013745151330046855,0.007596004682394315,0.004837931553667808,0.004159716849882601,0.003345859205340353,0.002938930383069229,0.0028032874423121875,0.0027128588151408266,0.00203464411135562
1984,'Larouche Lyndon Jr.',0.013654722702875495,0.007596004682394315,0.004837931553667808,0.004159716849882601,0.003345859205340353,0.002938930383069229,0.002758073128726507,0.0027128588151408266,0.00203464411135562
1984,'Johnson Sonia',0.013699937016461175,0.007596004682394315,0.004837931553667808,0.004159716849882601,0.003345859205340353,0.002938930383069229,0.002758073128726507,0.0027128588151408266,0.00203464411135562
1984,'Dodge Earl',0.08868146201423435,0.04951921054079509,0.03139453217292238,0.02621605263924446,0.022332192988986022,0.01844833333872758,0.017477368426162973,0.018124678367872713,0.012298888892485055
1984,'Lowery Arthur',0.02408396143852484,0.012550796805991818,0.008367197870661211,0.007801846663184103,0.006784214489725307,0.0049750906257985585,0.004748950142807715,0.004183598935330606,0.0039574584523397625
1984,'Dennis Delmar',0.0460568945582985,0.02636360171268121,0.01635813841208533,0.01381706836748955,0.011593632078468244,0.009846646422808645,0.0092113789116597,0.009052562033872464,0.0066703088670639205
1984,'Holmes Larry',0.013745151330046855,0.007596004682394315,0.004837931553667808,0.004159716849882601,0.003345859205340353,0.0029841446966549093,0.0028032874423121875,0.0027128588151408266,0.00203464411135562
1984,'Winn Edward',0.005737988975217873,0.0033024396979671215,0.002022744315004862,0.0017337808414327387,0.0014654576159729101,0.001217774638625376,0.001135213646176198,0.001176494142400787,0.0008049696763794858
1984,'Baker Gerald',0.01757835437810889,0.00984993995325067,0.005758426434208084,0.005606888896465766,0.004697663670011858,0.003712669674686791,0.003485363368073314,0.003561132136944473,0.0027276756793617237
1984,'Anderson John B.',0.01708846200190602,0.009712672847237184,0.005915236846813623,0.005477071154457058,0.004600739769743929,0.0036513807696380387,0.0033592703080669957,0.003505325538852517,0.002628994154139388
1988,'Bush George H.W.',0.22316497782510436,0.12347706894891561,0.0741995230839814,0.06457057734025862,0.054941631596535846,0.044746277279652906,0.04248064298701225,0.041914234413852086,0.03058606295064882
1988,'Dukakis Michael',0.22316497782510436,0.12347706894891561,0.0741995230839814,0.06457057734025862,0.054941631596535846,0.04531268585281307,0.04248064298701225,0.041914234413852086,0.03058606295064882
1988,'Paul Ronald ""Ron""',0.22316497782510436,0.12404347752207577,0.0741995230839814,0.06457057734025862,0.054941631596535846,0.04531268585281307,0.04248064298701225,0.041914234413852086,0.03058606295064882
1988,'Winn Edward',0.008178559784280014,0.004585284191725722,0.002733534806605719,0.002380820638011433,0.002138329647102861,0.001697436936360003,0.0016092583942114314,0.0015651691231371456,0.0011022317768571448
1988,'Fulani Lenora',0.22316497782510436,0.12404347752207577,0.0741995230839814,0.06457057734025862,0.05550804016969601,0.04531268585281307,0.04248064298701225,0.041914234413852086,0.03058606295064882
1988,'Larouche Lyndon Jr.',0.02085507971304697,0.011580198503902689,0.006862339854164555,0.0061117714326153075,0.005200366920734077,0.004235350378742187,0.004020902258299545,0.003967290228188884,0.002895049625975672
1988,'Dodge Earl',0.06866300847547023,0.038359222611994544,0.022823737454136756,0.020138591871297136,0.018028834627637436,0.014001116253378009,0.014001116253378009,0.01342572791419809,0.009206213426878692
1988,'Kenoyer Willa',0.1582226459758022,0.08876906891109942,0.052603892688058915,0.04643937401367701,0.03986388742766965,0.03246646501841136,0.030822593371909523,0.02958968963703314,0.021370331404523935
1988,'Warren James ""Mac""',0.02096230377326829,0.011580198503902689,0.0069159518842752165,0.0061117714326153075,0.005200366920734077,0.004235350378742187,0.004020902258299545,0.003967290228188884,0.002895049625975672
1988,'Scattering',0.01793203894127052,0.00994703432365642,0.00597734631375684,0.005201660150902899,0.0044259739880489575,0.003604659227380079,0.003422144836120328,0.0033765162383053906,0.0024639442820066364
1988,'Duke David',0.15740071015255128,0.08876906891109942,0.052603892688058915,0.04643937401367701,0.03986388742766965,0.03246646501841136,0.030822593371909523,0.02958968963703314,0.021370331404523935
1988,'McCarthy Eugene ""Gene""',0.008156515148742872,0.00456323955618858,0.0027114901710685764,0.00235877600247429,0.002138329647102861,0.001697436936360003,0.0016092583942114314,0.0015651691231371456,0.0011022317768571448
1988,'Herer Jack',0.01635833822175802,0.008966086255657457,0.005341498194859762,0.004912270661344245,0.004339967283323557,0.003386128319955742,0.0034338202681241325,0.0032430524754505697,0.002241521563914364
1988,'Dennis Delmar',0.058268213066917256,0.03292076759483654,0.01962881448142836,0.01715589297195707,0.014992086651169691,0.01221004995301449,0.011591819575646669,0.011128146792620803,0.00803699490578169
1988,'Herberg G. Lewin',0.15781167806417676,0.08876906891109942,0.052603892688058915,0.04643937401367701,0.03986388742766965,0.03246646501841136,0.030822593371909523,0.02958968963703314,0.021370331404523935
1988,'Holmes Larry',0.02090869174315763,0.011580198503902689,0.0069159518842752165,0.0061117714326153075,0.005200366920734077,0.004235350378742187,0.004020902258299545,0.003967290228188884,0.002895049625975672
1988,'Marra William A.',0.005519850415137465,0.003129971045455043,0.0018502291894315526,0.0016189505407526086,0.0014493461983880495,0.0011255560902375277,0.0011255560902375277,0.001079300360501739,0.0007555102523512173
1988,'Youngkeit Louie G.',0.058268213066917256,0.03292076759483654,0.019783372075770314,0.01746500816064098,0.014992086651169691,0.01221004995301449,0.011591819575646669,0.011128146792620803,0.00803699490578169
1992,'Bush George H.W.',0.25564827600008005,0.14008124712333153,0.08204758760080846,0.07254207440315383,0.06503772187868964,0.0475275659882732,0.046526985651677975,0.04602669548338036,0.03802205279061856
1992,'Clinton Bill',0.25564827600008005,0.14008124712333153,0.08204758760080846,0.07254207440315383,0.06503772187868964,0.04802785615657081,0.046526985651677975,0.04602669548338036,0.03802205279061856
1992,'Perot Ross',0.25564827600008005,0.14008124712333153,0.08204758760080846,0.07254207440315383,0.06553801204698725,0.04802785615657081,0.046526985651677975,0.04602669548338036,0.03802205279061856
1992,'Marrou Andre',0.25564827600008005,0.14008124712333153,0.08204758760080846,0.07254207440315383,0.06553801204698725,0.04802785615657081,0.046526985651677975,0.046526985651677975,0.03802205279061856
1992,'Other',0.020110119696696724,0.011023032210959502,0.00647948846809089,0.005689306947592,0.005136179883242779,0.0037533622223697226,0.0036348349942948895,0.0036348349942948895,0.0029631807018708337
1992,'Gritz James ""Bo""',0.022075875439604997,0.01202151632849777,0.00712548058743686,0.006294903095649741,0.005595469418355326,0.004152887458935593,0.003978029039611989,0.00402174364444289,0.0032348807574866727
