year,state_po,candidate,party,candidatevotes,totalvotes
1996,MA,"Dole, Robert",republican,718058,2556459
1996,MA,"Perot, Ross",reform party,227206,2556459
1996,MA,"Browne, Harry",libertarian,20424,2556459
1996,MA,Other,,6180,2556459
1996,MA,"Hagelin, John",natural law,5183,2556459
1996,MA,,,4623,2556459
1996,MA,"Moorehead, Monica",workers world,3276,2556459
1996,MI,"Clinton, Bill",democrat,1989653,3848844
1996,MI,"Dole, Robert",republican,1481212,3848844
1996,MI,"Perot, Ross",reform party,336670,3848844
1996,MI,"Browne, Harry",libertarian,27670,3848844
1996,MI,,,4678,3848844
1996,MI,"Hagelin, John",natural law,4254,3848844
1996,MI,"Moorehead, Monica",workers world,3153,3848844
1996,MI,"White, Jerome """"Jerry""""",socialist equality party,1554,3848844
1996,MN,"Clinton, Bill",democrat,1120380,2192492
1996,MN,"Dole, Robert",republican,766395,2192492
1996,MN,"Perot, Ross",reform party,257698,2192492
1996,MN,"Nader, Ralph",green,24906,2192492
1996,MN,"Browne, Harry",libertarian,8271,2192492
1996,MN,"Peron, Dennis",grassroots,4898,2192492
1996,MN,"Phillips, Howard",u.s. taxpayers party,3415,2192492
1996,MN,,,2903,2192492
1996,MN,"Hagelin, John",natural law,1808,2192492
1996,MN,"Birrenback, John",independent grassroots,787,2192492
1996,MN,"Harris, James",socialist workers,684,2192492
1996,MN,"White, Jerome """"Jerry""""",socialist equality party,347,2192492
1996,MS,"Dole, Robert",republican,439838,893857
1996,MS,"Clinton, Bill",democrat,394022,893857
1996,MS,,independent,53427,893857
1996,MS,"Browne, Harry",libertarian,2809,893857
1996,MS,"Phillips, Howard",u.s. taxpayers party,2314,893857
1996,MS,"Hagelin, John",natural law,1447,893857
1996,MO,"Clinton, Bill",democrat,1025935,2158065
1996,MO,"Dole, Robert",republican,890016,2158065
1996,MO,"Perot, Ross",reform party,217188,2158065
1996,MO,"Phillips, Howard",u.s. taxpayers party,11521,2158065
1996,MO,"Browne, Harry",libertarian,10522,2158065
1996,MO,"Hagelin, John",natural law,2287,2158065
1996,MO,,independent,596,2158065
1996,MT,"Dole, Robert",republican,179652,407083
1996,MT,"Clinton, Bill",democrat,167922,407083
1996,MT,"Perot, Ross",reform party,55229,407083
1996,MT,"Browne, Harry",libertarian,2526,407083
1996,MT,"Hagelin, John",natural law,1754,407083
1996,NE,"Dole, Robert",republican,363467,677415
1996,NE,"Clinton, Bill",democrat,236761,677415
1996,NE,"Perot, Ross",reform party,71278,677415
1996,NE,"Browne, Harry",libertarian,2792,677415
1996,NE,"Phillips, Howard",u.s. taxpayers party,1928,677415
1996,NE,"Hagelin, John",natural law,1189,677415
1996,NV,"Clinton, Bill",democrat,203974,464279
1996,NV,"Dole, Robert",republican,199244,464279
1996,NV,"Perot, Ross",reform party,43986,464279
1996,NV,None Of The Above,,5608,464279
1996,NV,"Nader, Ralph",green,4730,464279
1996,NV,"Browne, Harry",libertarian,4460,464279
1996,NV,"Phillips, Howard",independent american,1732,464279
1996,NV,"Hagelin, John",natural law,545,464279
1996,NH,"Clinton, Bill",democrat,246166,496597
1996,NH,"Dole, Robert",republican,196486,496597
1996,NH,"Perot, Ross",reform party,48387,496597
1996,NH,"Browne, Harry",libertarian,4214,496597
1996,NH,"Phillips, Howard",u.s. taxpayers party,1344,496597
1996,NJ,"Clinton, Bill",democrat,1652361,3075860
1996,NJ,"Dole, Robert",republican,1103099,3075860
1996,NJ,,independent,320400,3075860
1996,NM,"Clinton, Bill",democrat,273495,556074
1996,NM,"Dole, Robert",republican,232751,556074
1996,NM,"Perot, Ross",reform party,32257,556074
1996,NM,"Nader, Ralph",green,13218,556074
1996,NM,"Browne, Harry",libertarian,2996,556074
1996,NM,"Phillips, Howard",u.s. taxpayers party,713,556074
1996,NM,"Hagelin, John",natural law,644,556074
1996,NY,"Clinton, Bill",democrat,3649630,6439129
1996,NY,"Dole, Robert",republican,1738707,6439129
1996,NY,"Perot, Ross",independence,503458,6439129
1996,NY,"Dole, Robert",conservative,183392,6439129
1996,NY,Blank Vote/Scattering,,123000,6439129
1996,NY,"Clinton, Bill",liberal party,106547,6439129
1996,NY,"Nader, Ralph",green,75956,6439129
1996,NY,"Phillips, Howard",right-to-life,23580,6439129
1996,NY,"Browne, Harry",libertarian,12220,6439129
1996,NY,"Dole, Robert",freedom,11393,6439129
1996,NY,"Hagelin, John",natural law,5011,6439129
1996,NY,"Moorehead, Monica",workers world,3473,6439129
1996,NY,"Harris, James",socialist workers,2762,6439129
1996,NC,"Dole, Robert",republican,1225938,2515807
1996,NC,"Clinton, Bill",democrat,1107849,2515807
1996,NC,"Perot, Ross",reform party,168059,2515807
1996,NC,"Browne, Harry",libertarian,8740,2515807
1996,NC,"Hagelin, John",natural law,2771,2515807
1996,NC,,,2450,2515807
1996,ND,"Dole, Robert",republican,125050,266411
1996,ND,"Clinton, Bill",democrat,106905,266411
1996,ND,"Perot, Ross",reform party,32515,266411
1996,ND,"Browne, Harry",libertarian,847,266411
1996,ND,"Phillips, Howard",independent nomination,745,266411
1996,ND,"Hagelin, John",natural law,349,266411
1996,OH,"Clinton, Bill",democrat,2148222,4534434
1996,OH,"Dole, Robert",republican,1859883,4534434
1996,OH,"Perot, Ross",reform party,483207,4534434
1996,OH,"Browne, Harry",libertarian,12851,4534434
1996,OH,"Moorehead, Monica",workers world,10813,4534434
1996,OH,"Hagelin, John",natural law,9120,4534434
1996,OH,"Phillips, Howard",u.s. taxpayers party,7361,4534434
1996,OH,"Nader, Ralph",green,2962,4534434
1996,OH,Other,,15,4534434
1996,OK,"Dole, Robert",republican,582315,1206713
1996,OK,"Clinton, Bill",democrat,488105,1206713
1996,OK,"Perot, Ross",reform party,130788,1206713
1996,OK,"Browne, Harry",libertarian,5505,1206713
1996,OR,"Clinton, Bill",democrat,649641,1377760
1996,OR,"Dole, Robert",republican,538152,1377760
1996,OR,"Perot, Ross",reform party,121221,1377760
1996,OR,"Nader, Ralph",green,49415,1377760
1996,OR,"Browne, Harry",libertarian,8903,1377760
1996,OR,"Phillips, Howard",u.s. taxpayers party,3379,1377760
1996,OR,"Hagelin, John",natural law,2798,1377760
1996,OR,Other,,2329,1377760
1996,OR,"Hollis, Mary Cal",socialist,1922,1377760
1996,PA,"Clinton, Bill",democrat,2215819,4501307
1996,PA,"Dole, Robert",republican,1801169,4501307
1996,PA,"Perot, Ross",reform party,430984,4501307
1996,PA,"Browne, Harry",libertarian,28000,4501307
1996,PA,"Phillips, Howard",constitution party,19552,4501307
1996,PA,"Hagelin, John",natural law,5783,4501307
1996,RI,"Clinton, Bill",democrat,233050,390247
1996,RI,"Dole, Robert",republican,104683,390247
1996,RI,"Perot, Ross",reform party,43723,390247
1996,RI,"Nader, Ralph",green,6040,390247
1996,RI,"Browne, Harry",libertarian,1109,390247
1996,RI,"Phillips, Howard",u.s. taxpayers party,1021,390247
1996,RI,"Hagelin, John",natural law,435,390247
1996,RI,"Moorehead, Monica",workers world,186,390247
1996,SC,"Dole, Robert",republican,573339,1150182
1996,SC,"Clinton, Bill",democrat,506152,1150182
1996,SC,"Perot, Ross",patriot party,36913,1150182
1996,SC,"Perot, Ross",reform party,27464,1150182
1996,SC,"Browne, Harry",libertarian,4271,1150182
1996,SC,"Phillips, Howard",u.s. taxpayers party,2043,1150182
1996,SD,"Dole, Robert",republican,150543,323826
1996,SD,"Clinton, Bill",democrat,139333,323826
1996,SD,,independent,32478,323826
1996,SD,"Browne, Harry",libertarian,1472,323826
1996,TN,"Clinton, Bill",democrat,909146,1894105
1996,TN,"Dole, Robert",republican,863530,1894105
1996,TN,,independent,121239,1894105
1996,TN,,,190,1894105
1996,TX,"Dole, Robert",republican,2736167,5611644
1996,TX,"Clinton, Bill",democrat,2459683,5611644
1996,TX,"Perot, Ross",independent,378537,5611644
1996,TX,"Browne, Harry",libertarian,20256,5611644
1996,TX,"Phillips, Howard",u.s. taxpayers party,7472,5611644
1996,TX,,,5107,5611644
1996,TX,"Hagelin, John",natural law,4422,5611644
1996,UT,"Dole, Robert",republican,361911,665629
1996,UT,"Clinton, Bill",democrat,221633,665629
1996,UT,"Perot, Ross",reform party,66461,665629
1996,UT,"Nader, Ralph",green,4615,665629
1996,UT,"Browne, Harry",libertarian,4129,665629
1996,UT,"Phillips, Howard",u.s. taxpayers party,2601,665629
1996,UT,"Templin, Diane",independent american,1290,665629
1996,UT,"Crane, Peter",independent,1101,665629
1996,UT,"Hagelin, John",natural law,1085,665629
1996,UT,"Moorehead, Monica",workers world,298,665629
1996,UT,"Harris, James",socialist workers,235,665629
1996,UT,,,159,665629
1996,UT,"Dodge, Earl",prohibition,111,665629
1996,VT,"Clinton, Bill",democrat,137894,258449
1996,VT,"Dole, Robert",republican,80352,258449
1996,VT,"Perot, Ross",reform party,31024,258449
1996,VT,"Nader, Ralph",green,5585,258449
1996,VT,"Browne, Harry",libertarian,1183,258449
1996,VT,,,560,258449
1996,VT,"Hagelin, John",natural law,498,258449
1996,VT,"Peron, Dennis",grassroots,480,258449
1996,VT,"Phillips, Howard",u.s. taxpayers party,382,258449
1996,VT,"Hollis, Mary Cal",liberty union party,292,258449
1996,VT,"Harris, James",socialist workers,199,258449
1996,VA,"Dole, Robert",republican,1138350,2416642
1996,VA,"Clinton, Bill",democrat,1091060,2416642
1996,VA,"Perot, Ross",reform party,159861,2416642
1996,VA,"Phillips, Howard",u.s. taxpayers party,13687,2416642
1996,VA,"Browne, Harry",libertarian,9174,2416642
1996,VA,"Hagelin, John",natural law,4510,2416642
1996,WA,"Clinton, Bill",democrat,1123323,2253837
1996,WA,"Dole, Robert",republican,840712,2253837
1996,WA,"Perot, Ross",reform party,201003,2253837
1996,WA,,independent,62696,2253837
1996,WA,"Browne, Harry",libertarian,12522,2253837
1996,WA,"Hagelin, John",natural law,6076,2253837
1996,WA,"Phillips, Howard",u.s. taxpayers party,4578,2253837
1996,WA,"Moorehead, Monica",workers world,2189,2253837
1996,WA,"Harris, James",socialist workers,738,2253837
1996,WV,"Clinton, Bill",democrat,327812,636459
1996,WV,"Dole, Robert",republican,233946,636459
1996,WV,"Perot, Ross",reform party,71639,636459
1996,WV,"Browne, Harry",libertarian,3062,636459
1996,WI,"Clinton, Bill",democrat,1071971,2196169
1996,WI,"Dole, Robert",republican,845029,2196169
1996,WI,"Perot, Ross",reform party,227339,2196169
1996,WI,,independent,32766,2196169
1996,WI,"Phillips, Howard",u.s. taxpayers party,8811,2196169
1996,WI,"Browne, Harry",libertarian,7929,2196169
1996,WI,Scattering,,2324,2196169
1996,WY,"Dole, Robert",republican,105388,211571
1996,WY,"Clinton, Bill",democrat,77934,211571
1996,WY,"Perot, Ross",independent,25928,211571
1996,WY,"Browne, Harry",libertarian,1739,211571
1996,WY,"Hagelin, John",natural law,582,211571
2000,AL,"Bush, George W.",republican,941173,1666272
2000,AL,"Gore, Al",democrat,692611,1666272
2000,AL,,independent,25896,1666272
2000,AL,"Browne, Harry",libertarian,5893,1666272
2000,AL,,,699,1666272
2000,AK,"Bush, George W.",republican,167398,285560
2000,AK,"Gore, Al",democrat,79004,285560
2000,AK,"Nader, Ralph",green,28747,285560
2000,AK,"Buchanan, Patrick """"Pat""""",reform party,5192,285560
2000,AK,"Browne, Harry",libertarian,2636,285560
2000,AK,,,1068,285560
2000,AK,"Hagelin, John",natural law,919,285560
2000,AK,"Phillips, Howard",constitution party,596,285560
2000,AZ,"Bush, George W.",republican,781652,1532016
2000,AZ,"Gore, Al",democrat,685341,1532016
2000,AZ,"Nader, Ralph",green,45645,1532016
2000,AZ,"Buchanan, Patrick """"Pat""""",reform party,12373,1532016
2000,AZ,"L. Neil, Smith",libertarian,5775,1532016
2000,AZ,"Hagelin, John",natural law,1120,1532016
2000,AZ,,,110,1532016
2000,AR,"Bush, George W.",republican,472940,921781
2000,AR,"Gore, Al",democrat,422768,921781
2000,AR,"Nader, Ralph",green,13421,921781
2000,AR,"Buchanan, Patrick """"Pat""""",reform party,7358,921781
2000,AR,"Browne, Harry",libertarian,2781,921781
2000,AR,"Phillips, Howard",constitution party,1415,921781
2000,AR,"Hagelin, John",natural law,1098,921781
2000,CA,"Gore, Al",democrat,5861203,10965822
2000,CA,"Bush, George W.",republican,4567429,10965822
2000,CA,"Nader, Ralph",green,418707,10965822
2000,CA,"Browne, Harry",libertarian,45520,10965822
2000,CA,"Buchanan, Patrick """"Pat""""",reform party,44987,10965822
2000,CA,"Phillips, Howard",american independent party,17042,10965822
2000,CA,"Hagelin, John",natural law,10934,10965822
2000,CO,"Bush, George W.",republican,883748,1741368
2000,CO,"Gore, Al",democrat,738227,1741368
2000,CO,"Nader, Ralph",green,91434,1741368
2000,CO,"Browne, Harry",libertarian,12799,1741368
2000,CO,"Hagelin, John",freedom,10465,1741368
2000,CO,"Hagelin, John",natural law,2240,1741368
2000,CO,"Phillips, Howard",constitution party,1319,1741368
2000,CO,"McReynolds, David",socialist,712,1741368
2000,CO,"Harris, James",socialist workers,216,1741368
2000,CO,"Dodge, Earl",prohibition,208,1741368
2000,CT,"Gore, Al",democrat,816015,1459525
2000,CT,"Bush, George W.",republican,561094,1459525
2000,CT,"Nader, Ralph",green,64452,1459525
2000,CT,"Phillips, Howard",concerned citizens,9695,1459525
2000,CT,"Buchanan, Patrick """"Pat""""",reform party,4731,1459525
2000,CT,"Browne, Harry",libertarian,3484,1459525
2000,CT,,,54,1459525
2000,DE,"Gore, Al",democrat,180068,327529
2000,DE,"Bush, George W.",republican,137288,327529
2000,DE,"Nader, Ralph",green,8307,327529
2000,DE,"Buchanan, Patrick """"Pat""""",reform party,777,327529
2000,DE,"Browne, Harry",libertarian,774,327529
2000,DE,"Phillips, Howard",constitution party,208,327529
2000,DE,"Hagelin, John",natural law,107,327529
2000,DC,"Gore, Al",democrat,171923,201894
2000,DC,"Bush, George W.",republican,18073,201894
2000,DC,"Nader, Ralph",green,10576,201894
2000,DC,"Browne, Harry",libertarian,669,201894
2000,DC,,,539,201894
2000,DC,"Harris, James",socialist workers,114,201894
2000,FL,"Bush, George W.",republican,2912790,5963110
2000,FL,"Gore, Al",democrat,2912253,5963110
2000,FL,"Nader, Ralph",green,97488,5963110
2000,FL,"Buchanan, Patrick """"Pat""""",reform party,17484,5963110
2000,FL,"Browne, Harry",libertarian,16415,5963110
2000,FL,"Hagelin, John",natural law,2281,5963110
2000,FL,"Moorehead, Monica",workers world,1804,5963110
2000,FL,"Phillips, Howard",constitution party,1371,5963110
2000,FL,"McReynolds, David",socialist,622,5963110
2000,FL,"Harris, James",socialist workers,562,5963110
2000,FL,,,40,5963110
2000,GA,"Bush, George W.",republican,1419720,2583208
2000,GA,"Gore, Al",democrat,1116230,2583208
2000,GA,"Browne, Harry",libertarian,36332,2583208
2000,GA,"Buchanan, Patrick """"Pat""""",independent,10926,2583208
2000,HI,"Gore, Al",democrat,205286,367951
2000,HI,"Bush, George W.",republican,137845,367951
2000,HI,"Nader, Ralph",green,21623,367951
2000,HI,"Browne, Harry",libertarian,1477,367951
2000,HI,"Buchanan, Patrick """"Pat""""",reform party,1071,367951
2000,HI,"Phillips, Howard",constitution party,343,367951
2000,HI,"Hagelin, John",natural law,306,367951
2000,ID,"Bush, George W.",republican,336937,501615
2000,ID,"Gore, Al",democrat,138637,501615
2000,ID,"Nader, Ralph",green,12292,501615
2000,ID,"Buchanan, Patrick """"Pat""""",reform party,7615,501615
2000,ID,"Browne, Harry",libertarian,3488,501615
2000,ID,"Phillips, Howard",constitution party,1469,501615
2000,ID,"Hagelin, John",natural law,1177,501615
2000,IL,"Gore, Al",democrat,2589026,4742108
2000,IL,"Bush, George W.",republican,2019421,4742108
2000,IL,"Nader, Ralph",green,103759,4742108
2000,IL,,independent,16106,4742108
2000,IL,"Browne, Harry",libertarian,11623,4742108
2000,IL,"Buchanan, Patrick """"Pat""""",reform party,2127,4742108
2000,IL,,,46,4742108
2000,IN,"Bush, George W.",republican,1245836,2199302
2000,IN,"Gore, Al",democrat,901980,2199302
2000,IN,,,18997,2199302
2000,IN,"Buchanan, Patrick """"Pat""""",independent,16959,2199302
2000,IN,"Browne, Harry",libertarian,15530,2199302
2000,IA,"Gore, Al",democrat,638517,1353022
2000,IA,"Bush, George W.",republican,634373,1353022
2000,IA,,independent,37459,1353022
2000,IA,"Nader, Ralph",green,29374,1353022
2000,IA,"Buchanan, Patrick """"Pat""""",reform party,5731,1353022
2000,IA,"Browne, Harry",libertarian,3209,1353022
2000,IA,"Hagelin, John",nominated by petition,2281,1353022
2000,IA,Scattering,,1168,1353022
2000,IA,"Phillips, Howard",constitution party,613,1353022
2000,IA,"Harris, James",socialist workers,190,1353022
2000,IA,"McReynolds, David",socialist,107,1353022
2000,KS,"Bush, George W.",republican,622332,1072216
2000,KS,"Gore, Al",democrat,399276,1072216
2000,KS,,independent,37459,1072216
2000,KS,"Buchanan, Patrick """"Pat""""",reform party,7370,1072216
2000,KS,"Browne, Harry",libertarian,4525,1072216
2000,KS,"Phillips, Howard",constitution party,1254,1072216
2000,KY,"Bush, George W.",republican,872520,1544106
2000,KY,"Gore, Al",democrat,638923,1544106
2000,KY,"Nader, Ralph",green,23118,1544106
2000,KY,"Buchanan, Patrick """"Pat""""",reform party,4152,1544106
2000,KY,"Browne, Harry",libertarian,2885,1544106
2000,KY,"Hagelin, John",natural law,1513,1544106
2000,KY,,constitution party,915,1544106
2000,KY,,,80,1544106
2000,LA,"Bush, George W.",republican,927871,1765656
2000,LA,"Gore, Al",democrat,792344,1765656
2000,LA,"Nader, Ralph",green,20473,1765656
2000,LA,"Buchanan, Patrick """"Pat""""",reform party,14356,1765656
2000,LA,"Phillips, Howard",constitution party,5483,1765656
2000,LA,"Browne, Harry",libertarian,2951,1765656
2000,LA,"Harris, James",socialist workers,1103,1765656
2000,LA,"Hagelin, John",natural law,1075,1765656
2000,ME,"Gore, Al",democrat,319951,651817
2000,ME,"Bush, George W.",republican,286616,651817
2000,ME,"Nader, Ralph",green,37127,651817
2000,ME,"Buchanan, Patrick """"Pat""""",reform party,4443,651817
2000,ME,"Browne, Harry",libertarian,3074,651817
2000,ME,"Phillips, Howard",constitution party,579,651817
2000,ME,Other,,27,651817
2000,MD,"Gore, Al",democrat,1144008,2025212
2000,MD,"Bush, George W.",republican,813827,2025212
2000,MD,"Nader, Ralph",green,53768,2025212
2000,MD,"Browne, Harry",libertarian,5310,2025212
2000,MD,"Buchanan, Patrick """"Pat""""",reform party,4248,2025212
2000,MD,,,1656,2025212
2000,MD,Other,,1477,2025212
2000,MD,"Phillips, Howard",constitution party,918,2025212
2000,MA,"Gore, Al",democrat,1616487,2733964
2000,MA,"Bush, George W.",republican,878502,2733964
2000,MA,"Nader, Ralph",green,173564,2733964
2000,MA,Blank Vote/Scattering,,31022,2733964
2000,MA,"Browne, Harry",libertarian,16366,2733964
2000,MA,"Buchanan, Patrick """"Pat""""",reform party,11149,2733964
2000,MA,Other,,3990,2733964
2000,MA,"Hagelin, John",unenrolled,2884,2733964
2000,MI,"Gore, Al",democrat,2170418,4232501
2000,MI,"Bush, George W.",republican,1953139,4232501
2000,MI,"Nader, Ralph",green,84165,4232501
2000,MI,"Browne, Harry",libertarian,16711,4232501
2000,MI,"Phillips, Howard",u.s. taxpayers party,3791,4232501
2000,MI,"Hagelin, John",natural law,2426,4232501
2000,MI,,,1851,4232501
2000,MN,"Gore, Al",democratic-farmer-labor,1168266,2438685
2000,MN,"Bush, George W.",republican,1109659,2438685
2000,MN,"Nader, Ralph",green,126696,2438685
2000,MN,"Buchanan, Patrick """"Pat""""",reform party minnesota,22166,2438685
2000,MN,"Browne, Harry",libertarian,5282,2438685
2000,MN,"Phillips, Howard",constitution party,3272,2438685
2000,MN,"Buchanan, Patrick """"Pat""""",reform party,2294,2438685
2000,MN,"Harris, James",socialist workers,1022,2438685
2000,MN,,,28,2438685
2000,MS,"Bush, George W.",republican,572844,994184
2000,MS,"Gore, Al",democrat,404614,994184
2000,MS,,independent,8735,994184
2000,MS,"Phillips, Howard",constitution party,3267,994184
2000,MS,"Buchanan, Patrick """"Pat""""",reform party,2265,994184
2000,MS,"Browne, Harry",libertarian,2009,994184
2000,MS,"Hagelin, John",natural law,450,994184
2000,MO,"Bush, George W.",republican,1189924,2359892
2000,MO,"Gore, Al",democrat,1111138,2359892
2000,MO,"Nader, Ralph",green,38515,2359892
2000,MO,"Buchanan, Patrick """"Pat""""",reform party,9818,2359892
2000,MO,"Browne, Harry",libertarian,7436,2359892
2000,MO,"Phillips, Howard",constitution party,1957,2359892
2000,MO,"Hagelin, John",natural law,1104,2359892
2000,MT,"Bush, George W.",republican,240178,410986
2000,MT,"Gore, Al",democrat,137126,410986
2000,MT,"Nader, Ralph",green,24437,410986
2000,MT,"Buchanan, Patrick """"Pat""""",reform party,5697,410986
2000,MT,"Browne, Harry",libertarian,1718,410986
2000,MT,"Phillips, Howard",constitution party,1155,410986
2000,MT,"Hagelin, John",natural law,675,410986
2000,NE,"Bush, George W.",republican,433862,697019
2000,NE,"Gore, Al",democrat,231780,697019
2000,NE,"Nader, Ralph",green,24540,697019
2000,NE,,nominated by petition,4114,697019
2000,NE,"Browne, Harry",libertarian,2245,697019
2000,NE,,natural law,478,967019
2000,NV,"Bush, George W.",republican,301575,609426
2000,NV,"Gore, Al",democrat,279978,609426
2000,NV,"Nader, Ralph",green,15008,609426
2000,NV,"Buchanan, Patrick """"Pat""""",citizens first,4747,609426
2000,NV,None Of These Candidates,,3315,609426
2000,NV,"Browne, Harry",libertarian,3311,609426
2000,NV,"Phillips, Howard",independent american,621,609426
2000,NV,"Hagelin, John",natural law,415,609426
2000,NV,Blank Vote,,282,609426
2000,NV,Over Vote,,174,609426
2000,NH,"Bush, George W.",republican,273559,569081
2000,NH,"Gore, Al",democrat,266348,569081
2000,NH,"Nader, Ralph",green,22198,569081
2000,NH,"Browne, Harry",libertarian,2757,569081
2000,NH,"Buchanan, Patrick """"Pat""""",independence,2615,569081
2000,NH,,,1276,569081
2000,NH,,constitution party,328,569081
2000,NJ,"Gore, Al",democrat,1788850,3187226
2000,NJ,"Bush, George W.",republican,1284173,3187226
2000,NJ,,independent,114203,3187226
2000,NM,"Gore, Al",democrat,286783,598605
2000,NM,"Bush, George W.",republican,286417,598605
2000,NM,"Nader, Ralph",green,21251,598605
2000,NM,"Browne, Harry",libertarian,2058,598605
2000,NM,"Buchanan, Patrick """"Pat""""",reform party,1392,598605
2000,NM,"Hagelin, John",natural law,361,598605
2000,NM,"Phillips, Howard",constitution party,343,598605
2000,NY,"Gore, Al",democrat,3942215,6960215
2000,NY,"Bush, George W.",republican,2258577,6960215
2000,NY,"Nader, Ralph",green,244030,6960215
2000,NY,"Bush, George W.",conservative,144797,6960215
2000,NY,Blank Vote/Scattering,,138216,6960215
2000,NY,"Gore, Al",working families,88395,6960215
2000,NY,"Gore, Al",liberal party,77087,6960215
2000,NY,"Buchanan, Patrick """"Pat""""",right-to-life,25175,6960215
2000,NY,"Hagelin, John",independence,24361,6960215
2000,NY,"Browne, Harry",libertarian,7649,6960215
2000,NY,"Buchanan, Patrick """"Pat""""",reform party,6424,6960215
2000,NY,"Harris, James",socialist workers,1789,6960215
2000,NY,"Phillips, Howard",constitution party,1498,6960215
2000,NY,,socialist,2,6960215
2000,NC,"Bush, George W.",republican,1631163,2914990
2000,NC,"Gore, Al",democrat,1257692,2914990
2000,NC,"Browne, Harry",libertarian,13891,2914990
2000,NC,"Buchanan, Patrick """"Pat""""",reform party,8874,2914990
2000,NC,Not Designated,socialist,3370,2914990
2000,ND,"Bush, George W.",republican,174852,288256
2000,ND,"Gore, Al",democrat,95284,288256
2000,ND,,independent,10459,288256
2000,ND,"Buchanan, Patrick """"Pat""""",reform party,7288,288256
2000,ND,"Phillips, Howard",constitution party,373,288256
2000,OH,"Bush, George W.",republican,2350363,4701998
2000,OH,"Gore, Al",democrat,2183628,4701998
2000,OH,Not Designated,,148353,4701998
2000,OH,"Browne, Harry",libertarian,13473,4701998
2000,OH,"Hagelin, John",natural law,6181,4701998
2000,OK,"Bush, George W.",republican,744337,1234229
2000,OK,"Gore, Al",democrat,474276,1234229
2000,OK,"Buchanan, Patrick """"Pat""""",reform party,9014,1234229
2000,OK,"Browne, Harry",libertarian,6602,1234229
2000,OR,"Gore, Al",democrat,720342,1533950
2000,OR,"Bush, George W.",republican,713577,1533950
2000,OR,"Nader, Ralph",green,77357,1533950
2000,OR,"Browne, Harry",libertarian,7447,1533950
2000,OR,"Buchanan, Patrick """"Pat""""",independent,7063,1533950
2000,OR,Other,,3401,1533950
2000,OR,"Buchanan, Patrick """"Pat""""",reform party,2574,1533950
2000,OR,"Phillips, Howard",constitution party,2189,1533950
2000,PA,"Gore, Al",democrat,2485967,4912185
2000,PA,"Bush, George W.",republican,2281127,4912185
2000,PA,"Nader, Ralph",green,103392,4912185
2000,PA,"Buchanan, Patrick """"Pat""""",reform party,16023,4912185
2000,PA,"Phillips, Howard",constitution party,14428,4912185
2000,PA,"Browne, Harry",libertarian,11248,4912185
2000,RI,"Gore, Al",democrat,249508,409112
2000,RI,"Bush, George W.",republican,130555,409112
2000,RI,"Nader, Ralph",green,25052,409112
2000,RI,"Buchanan, Patrick """"Pat""""",reform party,2273,409112
2000,RI,"Browne, Harry",libertarian,742,409112
2000,RI,,,329,409112
2000,RI,"Hagelin, John",natural law,271,409112
2000,RI,"Moorehead, Monica",workers world,199,409112
2000,RI,"Phillips, Howard",constitution party,97,409112
2000,RI,,socialist,52,409112
2000,RI,,socialist workers,34,409112
2000,SC,"Bush, George W.",republican,786892,1383902
2000,SC,"Gore, Al",democrat,566037,1383902
2000,SC,"Nader, Ralph",united citizens,20279,1383902
2000,SC,"Browne, Harry",libertarian,4760,1383902
2000,SC,"Buchanan, Patrick """"Pat""""",reform party,3309,1383902
2000,SC,,constitution party,1682,1383902
2000,SC,"Hagelin, John",natural law,943,1383902
2000,SD,"Bush, George W.",republican,190700,316269
2000,SD,"Gore, Al",democrat,118804,316269
2000,SD,"Buchanan, Patrick """"Pat""""",reform party,3322,316269
2000,SD,"Phillips, Howard",independent,1781,316269
2000,SD,"Browne, Harry",libertarian,1662,316269
2000,TN,"Bush, George W.",republican,1061949,2076181
2000,TN,"Gore, Al",democrat,981720,2076181
2000,TN,,independent,32084,2076181
2000,TN,,,428,2076181
2000,TX,"Bush, George W.",republican,3799639,6407637
2000,TX,"Gore, Al",democrat,2433746,6407637
2000,TX,"Nader, Ralph",green,137994,6407637
2000,TX,"Browne, Harry",libertarian,23160,6407637
2000,TX,,independent,12394,6407637
2000,TX,,,704,6407637
2000,UT,"Bush, George W.",republican,515096,770754
2000,UT,"Gore, Al",democrat,203053,770754
2000,UT,"Nader, Ralph",green,35850,770754
2000,UT,"Buchanan, Patrick """"Pat""""",reform party,9319,770754
2000,UT,"Browne, Harry",libertarian,3616,770754
2000,UT,"Phillips, Howard",independent american,2709,770754
2000,UT,"Hagelin, John",natural law,763,770754
2000,UT,"Harris, James",socialist workers,186,770754
2000,UT,,no party affiliation,161,770754
2000,UT,,,1,770754
2000,VT,"Gore, Al",democrat,149022,294308
2000,VT,"Bush, George W.",republican,119775,294308
2000,VT,"Nader, Ralph",progressive/green,20374,294308
2000,VT,"Buchanan, Patrick """"Pat""""",reform party,2192,294308
2000,VT,"Dennis """"Denny"""", Lane",vermont grassroots,1044,294308
2000,VT,"Browne, Harry",libertarian,784,294308
2000,VT,,,514,294308
2000,VT,"Hagelin, John",natural law,219,294308
2000,VT,"McReynolds, David",liberty union party,161,294308
2000,VT,"Phillips, Howard",constitution party,153,294308
2000,VT,"Harris, James",socialist workers,70,294308
2000,VA,"Bush, George W.",republican,1437490,2739447
2000,VA,"Gore, Al",democrat,1217290,2739447
